reranked_position,paper_id,title,year,final_score,topic_match,method_match,relationship_match,recency
1,8495965cf4ff5eb8010c7f126690106c135f23ab,Kolmogorov–Arnold graph neural networks for molecular property prediction,2025,0.7105470960028385,0.8966502825279872,0.460849591153796,0.6338584790876167,1.0
2,82a4356ab71189ae9837b7752ba31fa570a04514,Composite Graph Neural Networks for Molecular Property Prediction,2024,0.6872068308860788,0.8281905312060303,0.5005812055572981,0.668663133187115,0.8
3,c70d99bc680615b38111f949ce1ff0cc171d3967,Cross-dependent graph neural networks for molecular property prediction,2022,0.6798551299698721,0.8937606475394079,0.5386216402604321,0.661809645011799,0.4
4,c639624193847693bb2fd4b1319ca3229093c412,Mfgnn: Multi‐Scale Feature‐Attentive Graph Neural Networks for Molecular Property Prediction,2025,0.6475377107772117,0.7027692458750002,0.4701570214957735,0.6420854730889184,1.0
5,6039ef4676d535ef5b60f6315036a84b9d5ebe3b,Chain-aware graph neural networks for molecular property prediction,2024,0.642465461024945,0.7217349799777272,0.5305211982632985,0.6028074342150036,0.8
6,b7fdef4f00bed1ebb70d8d86534bfd76a27ffb6c,Consistency-regularized graph neural networks for molecular property prediction,2025,0.5956520576652767,0.6941363088589549,0.4314530058651134,0.49307379122043393,1.0
7,be5d48ff7434525a965390f95ceb9902a46e76e0,Multi-View Graph Neural Networks for Molecular Property Prediction,2020,0.5916372522177318,0.7327638708301529,0.585292380283491,0.6383287333685239,0.0
8,049c6ba3c6776e474cd2b60d081f47299f85091a,Physical Pooling Functions in Graph Neural Networks for Molecular Property Prediction,2022,0.5880110666839835,0.7762526134749754,0.4128661155489468,0.6098512692122325,0.4
9,ee75d0675c7adedded789e38500cc0b32b9fb4ae,Chemistry-intuitive explanation of graph neural networks for molecular property prediction with substructure masking,2023,0.5739023979042269,0.7111756051785948,0.4004256693093353,0.5794529411956725,0.6
10,7675fc907efe86a45f3259784d644897dc95af1b,Quantitative evaluation of explainable graph neural networks for molecular property prediction,2021,0.5488694474879744,0.7256339220684315,0.427718470775688,0.5863281341252679,0.2
